"Sample ID"	Current_Natural_Log_Ratio	age	age
10422.32.F.8	-4.536432384008963	13.5	13.5
10422.24.F.9	-5.770995986243075	14	14
10422.32.F.11	-5.873525249243295	15	15
10422.20.F.1	null	10	10
10422.17.F.7	-3.1190554895859903	13	13
10422.22.F.5	-5.202435594844754	12	12
10422.18.F.6	null	12.5	12.5
10422.30.F.5	-5.028256895446075	12	12
10422.27.F.11	5.329042994235934	15	15
10422.18.F.8	-2.1431573560659434	13.5	13.5
10422.26.F.4	-6.205567353770043	11.5	11.5
10422.22.F.11	-6.666108256103367	15	15
10422.29.F.5	-4.22926388012147	12	12
10422.17.F.9	-1.8325814637483102	14	14
10422.28.F.11	4.616724795260205	15	15
10422.32.F.1	-3.5553480614894135	10	10
10422.24.F.7	-3.7321599624723985	13	13
10422.32.F.6	-5.211471265155841	12.5	12.5
10422.20.F.8	-4.034240638152395	13.5	13.5
10422.29.F.2	null	10.5	10.5
10422.26.F.3	-4.328537949722895	11	11
10422.30.F.2	0.9162907318741551	10.5	10.5
10422.24.F.13	-5.59538705530322	16	16
10422.21.F.13	-4.311470041210747	16	16
10422.19.F.7	null	13	13
10422.23.F.4	-6.100318952020064	11.5	11.5
10422.23.F.3	-4.446920206409892	11	11
10422.19.F.12	-4.270235228685765	15.5	15.5
10422.25.F.8	5.483223300259508	13.5	13.5
10422.30.F.10	-5.230135854131964	14.5	14.5
10422.21.F.7	null	13	13
10422.28.F.3	3.949372994853662	11	11
10422.21.F.9	-5.44544343143833	14	14
10422.25.F.6	4.935805313969082	12.5	12.5
10422.31.F.3	-5.096812990337308	11	11
10422.25.F.10	3.7804252260390188	14.5	14.5
10422.20.F.10	null	14.5	14.5
10422.19.F.9	-2.8903717578961645	14	14
10422.27.F.5	4.540021955205843	12	12
10422.17.F.11	-3.044522437723423	15	15
10422.31.F.4	null	11.5	11.5
10422.31.F.13	-5.135798437050262	16	16
10422.18.F.11	-4.07753744390572	15	15
10422.28.F.4	-2.896202678206958	11.5	11.5
